NOM;NATURE;NATGEST;NUM;RUE;CP;STIADR;QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
LARDENNE;HG;HG VT;11;chemin de Rocamadour;31100;59584520011;6.2;1569100.7672;2266747.4939;1.37894689374984;43.5894677799956
LE BALLON;MA;MA ASS;2;rue L. Braud;31100;84039510002;6.2;1570246.8653;2266220.0908;1.39326157160568;43.5849197401729
LE CASTELET les Petits Galopins;CC;CC ASS;2t;place de Belfort;31000;07264090002t;1.3;1574918.0409;2268764.462;1.4505105152455;43.608606909686
LE GAN RACHI;MA;MA ASS;8;imp.Suzanne Lenglen;31200;84418020008;3.1;1572779.074;2270440.5623;1.423630040312;43.6233323313834
LE HIBOU;CC;CC ASS;65b;ch Basso Cambo;31100;06048170065b;6.4;1569173.318;2263206.1995;1.38069036194675;43.5576114549744
LE JARDIN ENCHANTE;CC;CC ASS;1;imp Boutaric;31200;84225500001;3.4;1575272.4789;2270771.9311;1.45444276918501;43.6267313567821
LE NID DES CIGOGNEAUX;CC;CC ASS;15;rue Mondran;31400;47072430015;5.3;1575219.2306;2266803.2699;1.45468759093259;43.5910075004964
LE PETIT PRINCE;CC;CC ASS;25;rue Barrau;31400;05664560025;5.1;1576158.079;2266363.3661;1.46641134232755;43.5872034995083
PREMIERS PAS SUR LA TERRASSE;CC;CC ASS;5;impasse Victor Allègre;31500;83655290005;5.1;1577683.2775;2266387.4923;1.4852890373889;43.5876696707905
LES APRES-MIDI DE MARIE L'EAU;MA;MA ASS;25;rue Biot;31200;08928300025;3.1;1573395.2938;2270261.5569;1.43130513397857;43.6218252470688
LES DIABLOTINS DE GRAMONT;CC;CC ASS;105;ch de Gabardie;31200;30208210105;4.1;1577502.8413;2272088.9076;1.48177927412953;43.6389491512895
LES ENFANTS SAGES - BABY NOVARS;MA;MA ASS;4;avenue des Tilleuls;31500;68544450004;4.3;1576380.9569;2267711.4541;1.46886649825017;43.5993719951169
LES ENFANTS TERRIBLES;CC;CC ASS;19;rue Emile Duployé;31000;24736370019;1.2;1572866.1078;2268636.7806;1.42512714619612;43.6071144560722
BAZACLE les Explorateurs;CC;CC ASS;5;allée du Niger;31000;49536100005;1.2;1573248.6074;2268382.416;1.42992314258013;43.6048898107463
LES K'NAILLES;HG;HG ASS;10;ch.A. Messager;31100;46048010010;6.3;1571310.5783;2264714.8304;1.40678385738411;43.5715558524939
LES MOUSSAILLONS;HG;HG ASS;7;ch de la Garonne;31200;30912480007;3.2;1571443.3438;2269863.1673;1.40721883894419;43.617909511432
LES PETITES CANAILLES;CC;CC ASS;19;rue du chant du Merle;31400;16352060019;4.3;1575644.3014;2267406.0315;1.45981373981346;43.5965022022952
LES PETITS CHÊNES;HG;HG ASS;49;rue St James;31200;27456120082;3.2;1571741.296;2274468.8243;1.40982951523014;43.6594069715498
LES PETITS DROLES;CC;CC ASS;17;"all""e E Monso";31400;83469300017;5.1;1579051.8013;2262968.6804;1.50298691135702;43.5571229961282
LES PETITS JARDINIERS TOULOUSAINS;CC;CC ASS;55;av Louis Breguet;31400;11712020055;5.1;1577156.8348;2265217.7531;1.47903347566042;43.577057105793
LES PRADETTES;CF;CF VT;12;ch. des pradettes;31100;55616510012;6.2;1569752.6604;2265585.4274;1.38729416276438;43.5791230329464
LES PRADETTES;MA;MA VT;12;ch. des pradettes;31100;55616510012;6.2;1569752.6604;2265585.4274;1.38729416276438;43.5791230329464
LES VITARELLES I;CC;CC ASS;51;allée des Vitarelles;31100;72928410051;6.2;1570570.1897;2266831.2048;1.39711997020405;43.5904748762857
LES VITARELLES II;CC;CC ASS;94;ch du Ramelet Moundi;31100;57184310094;6.2;1569222.9529;2266155.828;1.38060088815208;43.5841644774133
LES ZEBULONS;CC;CC ASS;107;ch de Gabardie;31200;30208210107;4.1;1577499.0473;2272108.1198;1.48172795890899;43.6391214290017
LIMAYRAC il était une fois;MA;MA ASS;2;impasse des Pontils;31500;90000540002;4.3;1577219.9069;2266902.9492;1.47943660881301;43.5922331236096
PAUSE CALIN;MA;MA ASS;298;route de Saint Simon;31100;64064180298;2.3;1571309.8517;2266370.0322;1.40638618857551;43.5864513304134
LOU PITCHOUN;CC;CC ASS;7;ch Maurice;31500;45152140007;4.1;1575795.6386;2269834.9251;1.46113669517703;43.6183854639413
MINIMES;HG;HG VT;94;avenue des Minimes;31200;46528540094;3.1;1573763.2208;2270128.6038;1.43589354368015;43.6206905210782
MINIMES;CF;CF VT;94;avenue des Minimes;31200;46528540094;3.1;1573763.2208;2270128.6038;1.43589354368015;43.6206905210782
MINIMES;CC;CC CCAS;20;ch. du Sang de Serp;31200;64736210020;3.1;1573116.831;2269669.3289;1.42799294181635;43.6164488305191
MONTAUDRAN;MA;MA VT;1;impasse Laurent Guerrero;31400;83570000001;5.1;1577520.1376;2265065.1776;1.48356477907783;43.5757431264196
NOUGARO;CF;CF VT;3;imp. F. Foulquier;31100;29096050003;6.3;1570923.2263;2264032.9982;1.40215000447601;43.5653536297796
NOUGARO;CC;CC CCAS;3;imp. F. Foulquier;31100;29096050003;6.3;1570923.2263;2264032.9982;1.40215000447601;43.5653536297796
OCCITANE;HG;HG VT;1;place Occitane;31000;83485420004;1.1;1574786.1091;2268131.9588;1.44902118189039;43.6028929325728
OCCITANE;CC;CC VT;1;place Occitane;31000;83485420004;1.1;1574786.1091;2268131.9588;1.44902118189039;43.6028929325728
PERIOLE les petits dégourdis;MA;MA ASS;25;rue de Périole;31500;53152230025;4.1;1575384.1541;2269496.5185;1.45611668775509;43.6152721087461
PEYROLIERES les trois p'tits chaudrons;MA;MA ASS;31;rue Peyrolieres;31000;53664490031;1.1;1574098.1428;2267945.9856;1.44054430260715;43.6011046822174
PICAREL;HG;HG ASS;1;allées Reinhardt;31200;83824140001;3.2;1571777.514;2273261.9354;1.41056151123928;43.6485523123693
PLUME D'ANGE;CC;CC ASS;164;ch Amouroux;31500;01472100164;4.1;1576461.172;2271144.5236;1.46908502022084;43.6302802905429
POLYGONE;HG;HG CAFVT;18;rue Vincent Scotto;31300;84081240018;2.4;1572190.1808;2267669.2504;1.41698188493865;43.5982930995492
PONT DES DEMOISELLES;HG;HG VT;2;avenue Saint Exupéry;31400;83826180002;5.1;1575727.7995;2266397.1537;1.46107652927269;43.5874367474906
POUVOURVILLE bulle d'ô les Bidibulles;MA;MA ASS;1;ch des Clôtasses;31400;18272350012;5.2;1575414.5096;2262209.6074;1.45814941060852;43.5496996193445
PRELUDE;CC;CC ASS;68;av du Lauragais;31400;39616330068;5.2;1575312.9585;2265551.9275;1.45613283640279;43.579761750069
PURPAN crèche André Barbier;CC;CC CHU;1;pl du docteur Baylac;31300;23328340001;6.1;1570652.0134;2268793.8193;1.39766951624427;43.608150851623
RANGUEIL;HG;HG VT;19;rue Claude Forbin;31400;28960460019;5.2;1575934.3226;2264996.6336;1.46395051065973;43.5748669655447
RANGUEIL;CC;CC CHU;1;av du docteur J Poulhes;31400;83969420001;5.2;1575078.8225;2263207.953;1.45376855505525;43.5586286431788
REYNERIE;HG;HG CAFVT;2;av. W. Churchill dalle Jean Gilles;31100;37056350002;6.3;1571223.8882;2264690.7938;1.40571651049728;43.5713247380715
RIRE ET CHANSONS;MA;MA ASS;140;route d'Albi;31200;00832410140;3.4;1576137.3513;2271950.2922;1.46489062794784;43.6374783871809
SAINT MICHEL;CC;CC CCAS;3;rue François Longaud;31400;41824430003;5.3;1574128.3933;2266523.951;1.44124568527677;43.588312439979
SAINTE-LUCIE;CC;CC CCAS;17;rue Sainte-Lucie;31300;63040270017;2.1;1573433.651;2267051.2694;1.4325223785818;43.592941586718
SEPT DENIERS;MA;MA VT;110;route de Blagnac;31200;09120310110;3.2;1571567.8213;2269722.2552;1.40879377564833;43.6166626532826
SOUPETARD;MA;MA VT;2;impasse de Calvinet;31500;84060020002;4.2;1576843.1445;2269047.8843;1.47428926028037;43.6114746283033
ST AGNE NIEL les petits pas;MA;MA ASS;81;rue St Roch;31400;63841360081;5.3;1574537.1009;2265458.9206;1.44654969144546;43.578796020351
ST AUBIN;HG;HG VT;8;imp St Aubin;31000;61344430008;1.3;1575132.2752;2268225.1113;1.45328680359443;43.6037886789299
ST SIMON;MA;MA VT;1;Place de l'Eglise Saint Simon;31100;25536440001;6.4;1569169.9545;2263130.6499;1.38066676324254;43.556930979332
SUP DE CRECHE;CC;CC ASS;246;av St Exupery;31400;61888420246;5.1;1577265.073;2265536.146;1.48030201604933;43.5799400851057
TAUR;CC;CC CCAS;73;rue du Taur;31000;67904150073;1.1;1574233.7209;2268629.2836;1.44206628945524;43.6072764957837
TENDRES CALINS;CC;CC ASS;5;rue des Roseaux;31400;60224210005;5.2;1575389.1192;2264339.9314;1.45735117927056;43.5688671270044
TENDRES GALIPETTES;CC;CC ASS;1;imp Jean Chaubet;31500;84390270001;4.3;1577399.9035;2268380.974;1.48133441941414;43.6055636893645
TROIS RENARDS;CC;CC CCAS;6;rue des Trois Renards;31000;69888510006;1.1;1574137.6032;2268637.1691;1.44087408905604;43.6073314103469
UNIVERSITE;HG;HG VT;14;chemin du Mirail;31100;46689330014;6.3;1570784.088;2265800.886;1.40001126380812;43.5812395005944
UPSI MOMES;MA;MA UPS;118;rte de Narbonne;31400;48800000118;5.2;1575832.8667;2263520.4925;1.46302899901012;43.5615658594732
VARSOVIE;CC;CC CCAS;5;rue de Varsovie;31300;71104430005;2.1;1573269.1139;2267389.3113;1.43040691083383;43.5959560665483
CONSEIL GENERAL;CC;CC PRIV;1;Bld de la Marquette;31000;44352070001;1.2;1573822.4184;2269568.8936;1.43675587880729;43.6156634938891
TOUCH A TOUT;MA;MA PRIV;12;rue de Caulet;31300;84104500012;6.1;1567589.6478;2268475.3949;1.35982022930427;43.6047534046815
BAGATELLE FAOURETTE;HG;HG CAFVT;117;rue Henri Desbals;31100;22592240117;2.3;1571699.2946;2265581.387;1.41139229434136;43.5794204942272
REPUBLIQUE ST CYPRIEN;MA;MA VT;48;rue de la République;31300;58464300048;2.1;1573538.5726;2267643.6136;1.43368473265483;43.5982898633818
SUR LA PETITE PLANETE;MA;MA ASS;20;impasse Couzinet;31500;84105520020;5.1;1578311.5674;2265769.3874;1.49320507533685;43.5822087828367
ST DENIS;MA;MA VT;8;rue St Denis;31400;61696310008;5.3;1574731.2536;2266214.3935;1.44878039267055;43.585627066392
RIRES ET GRIMACES;CC;CC ASS;3;rue Gazagne;31300;31360060003;2.1;1573078.7678;2267102.8167;1.4281163616242;43.5933457948891
FOURTANIER;CC;CC VT;10;rue Louis Deffes;31000;21888580010;1.1;1574766.2298;2268089.0677;1.44878480902473;43.602503640278
CRECHE AND DO;CC;CC ASS;92;bld Deltour;31500;22272090092;4.3;1576699.2847;2267587.6038;1.47283628863158;43.598309575436
CROIX DAURADE le bois des petits dégourdis;CC;CC ASS;6;rue Simone Boudet;31200;90001750006;3.4;1576018.8476;2271226.1149;1.46358638862383;43.6309418713928
PATTE D'OIE;CF;CF VT;87;rue de Cugnaux;31300;20832330087;2.1;1572955.4222;2267192.4251;1.4265683353633;43.5941314222376
L'ENFANFARE;CC;CC ASS;24;rue descoins Tinard;31300;22656310024;2.3;1571925.7978;2266533.6467;1.41397359522458;43.5880286490469
LA COURTE ECHELLE;CC;CC ASS;59;rue du Printemps;31000;56064090059;1.3;1574340.7481;2269454.8097;1.44320230517173;43.6147234573201
PAPUS TABAR - Tabarbouille;CC;CC ASS;1;place André Mathieu;31100;84219480001;2.3;1571820.634;2264702.0197;1.41310000040122;43.5715274541047
NEGRENEYS;CC;CC CCAS;57;rue des Anges;31200;01696550057;3.1;1574171.5532;2270082.3982;1.44096234785398;43.6203430207251
PONTS JUMEAUX;MA;MA ASS;1;rue Henri Docquiert;31200;90001480001;3.1;1572651.4122;2269474.3348;1.42227339832289;43.6146155159517
VIRGINIA WOOLF;MA;MA VT;12;rue Virginia Woolf;31200;90001130012;3.3;1574139.7536;2273847.4385;1.43970211559645;43.6542198508418
DIDIER DAURAT;CC;CC CCAS;23;rue Jean Gilles;31100;31984240023;6.3;1570975.7074;2264968.2479;1.40257939684291;43.5737791936494
ARNAUD BERNARD;HG;HG VT;12;rue des Trois Piliers;31000;69824440012;1.1;1574073.4573;2268969.4507;1.44000323598408;43.6103109741746
POMME DE REINETTE (CONSEIL REGIONAL MP);MA;MA PRIV;22;bd du maréchal Juin;31400;43808180022;5.3;1574099.0178;2266634.1772;1.44085666133326;43.5892994928779
PETIT A PETIT;MA;MA ASS;300;route de Saint Simon;31100;64064180298;2.3;1571324.9906;2266377.3269;1.40657190058974;43.5865195617284
LE CERCLE DES GENTILS GLADIATEURS;MA;MA ASS;109;av des Arènes Romaines;31300;02496010109;6.1;1570542.182;2269573.1174;1.39612499899241;43.6151450026128
LE CERCLE DES GENTILS GLADIATEURS;CC;CC ASS;109;av des Arènes Romaines;31300;02496010109;6.1;1570542.182;2269573.1174;1.39612499899241;43.6151450026128
LA MARELLE - BORDELONGUE;MA;MA  ASS;116;route d'Espagne;31100;26240100116;2.2;1572723.9602;2264612.3882;1.42430163547762;43.5708738676333
O' P'TITS BONHEURS;MA;MA ASS;16;rue Théron de Montauge;31200;83726400016;4.2;1577774.2411;2271595.5714;1.48525248802526;43.6345535979393
BEBEBIZ SAINT-SIMON;MA;MA ASS;135;route de Saint-Simon;31100;64064180135;6.2;1569480.7629;2264974.3603;1.38407391027521;43.5735768736117
BABILOU WOODPARC;MA;MA PRIV;4;rue Claude-Marie Perroud;31100;84338440004;6.2;1569329.9374;2264977.1281;1.3822063789561;43.5735756552894
DANIELLE MITTERRAND;MA;MA VT;5;rue Antoine Pastre;31200;84522390005;3.4;1575320.8545;2272364.5802;1.45467909606738;43.6410719093524
