Description;Nom;Numero;Adresse;Horaire;Telephone;Telephone_2;CP;Ville;Site_Internet;Acces;Classe;X_CC43;Y_CC43;X_WGS84;Y_WGS84
Desserte Bibliobus accès PMR;Desserte Bibliobus Hers;1;1 Rue de Castelnaudary  31500 Toulouse;1er et 3ème Lundi 14h à 15h30;05 61 22 33 37;;31500;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1577506.39855495;2267451.42731068;1.48286122136726;43.5972156965811
Desserte Bibliobus accès PMR;Desserte Bibliobus Lalande;1;1 Place Paul Riche  31200 Toulouse;1er et 3ème Mercredi 9h30 à 12h;05 61 22 33 37;;31200;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1573545.88257893;2273099.30154258;1.43251459365695;43.6473877984114
Desserte Bibliobus accès PMR;Desserte Bibliobus Mazades;10;10 Avenue des Mazades (Centre culturel)  31200 Toulouse;2ème et 4ème Mercredi 15h15 à 18h;05 61 22 33 37;;31200;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1573992.81985864;2270491.1692544;1.43865419869353;43.623991755594
Desserte Bibliobus accès PMR;Desserte Bibliobus Polygone;2;2 Rue Vincent Scotto  31300 Toulouse;4ème Mardi de 9h30 à 12h;05 61 22 33 37;;31300;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1572289.62644137;2267672.20600325;1.41821261156832;43.5983365567262
Desserte Bibliobus accès PMR;Desserte Bibliobus Saint Simon;1;1 Place de l'Eglise Saint Simon  31100 Toulouse;1er;05 61 22 33 37;;31100;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1569169.99813855;2263130.66141286;1.38066730049324;43.5569310905102
Desserte Bibliobus accès PMR;Desserte Bibliobus Saint Martin du Touch;1;1 Place Bertier  31300 Toulouse;3ème Vendredi 14h30 à 18h;05 61 22 33 37;;31300;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1569071.12988726;2268813.75872812;1.37808599539524;43.6080572499038
Desserte Bibliobus accès PMR;Desserte Bibliobus Sept Deniers;12;12 Route de Blagnac (cité Madrid)  31200 Toulouse;1er et 3ème Mercredi 15h à 18h30;05 61 22 33 37;;31200;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1572070.26885303;2269150.96645994;1.41515086434877;43.6116070142163
Bibliothèque de quartier;Bibliothèque de quartier - Duranti;6;6 Rue Lieutenant Colonel Pélissier  31000 Toulouse;Ma/Ve: 10h à 13h et 14h à 18h - Me: 10h à 18h - J: 14h à 18h - S: 10h à 17h;05 62 27 42 52;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Capitole (ligne A) - vélo 8 (Espace Saint-Georges) ou 3 (Pomme);Bibliotheque;1574605.72181069;2268192.73618048;1.44677338182327;43.6034098892294
Bibliothèque d'Etude et du Patrimoine;Bibliothéque d' Etude et du Patrimoine;1;1 Rue de Périgord  31000 Toulouse;Mardi au Samedi: 10h à 19h; 05 62 27 66 66;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Capitole (ligne A) - vélo 14 Périgord;Bibliotheque;1574330.63663512;2268631.24834227;1.44326611028492;43.6073103468102
Médiathèque;Médiathèque José Cabanis;;1 allée Jacques Chaban-Delmas 31506 Toulouse Cedex 5;Ma au S: 10h à 19h sauf J: 14h à 19h - D: 14h à 18h;05 62 27 40 00;;31506;TOULOUSE Cedex 5;http://www.bibliotheque.toulouse.fr;Marengo (ligne A);Bibliotheque;1575356.16635052;2268937.39479596;1.4558973278891;43.6102357813085
Bibliothèque de quartier;Bibliothèque de quartier - Pradettes;3;3 avenue de la Dépêche 31100 TOULOUSE;Ma/Me/V: 10h à 12h30 et 13h30 à 19h - J: 14h à 19h - S: 10h à 17h;05 34 55 46 85;;31100;Toulouse;http://www.bibliotheque.toulouse.fr;Ligne 8 Arrêt Pradettes;Bibliotheque;1569932.52206432;2265976.5241369;1.38942781457201;43.5826736552293
