NOM;EQ_GESTIONNAIRE;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_BIBLIOTHEQUE;EQ_MUSEE;EQ_CINEMA;EQ_GALERIE_LIEU_EXPOSITION;EQ_CONF_RECEPTION;EQ_NTA;EQ_ENSEIGNEMENT;EQ_SALLE_DE_SPECTACLE;EQ_CENTRE_CULTUREL;EQ_CA_MJC_MQ;EQ_CAFE_CONCERT;EQ_STUDIO_DANS_MUSIQUE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
MIX ART MYRYS;Association;0012;RUE FERDINAND LASSALLE;31200;TOULOUSE;No;No;No;No;No;Yes;No;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1572484.0002;2269871.0003;1.42010740474497;43.6181568617337
MJC ANCELY;Association;0007;ALL DES CAUSSES;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.1 - Arènes Romaines - Saint Martin du Touch;1570944.0002;2269997.0003;1.40100204517692;43.6190285179979
MJC CROIX DAURADE;Association;0141;CHE DE NICOL;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1576227.0003;2271641;1.46607144244799;43.6347097433738
MJC EMPALOT;Association;0030;ALL HENRI SELLIER;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1573896.9999;2265314.0003;1.43865928607041;43.5773850306056
MJC PONT DES DEMOISELLES;Association;0030;AV ANTOINE DE ST EXUPERY;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1575849.0003;2266326.9997;1.46259297961676;43.586825379941
MJC PREVERT;Association;0292;RTE DE SEYSSES;31100;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;2 - Rive Gauche;2.3 - Fontaine Lestang - Bagatelle - Papus - Tabar - Bordelongue;1572314.0003;2264884.0001;1.41916419236911;43.5732488701835
MONUMENT DE LA RESISTANCE;Mairie de Toulouse - DGA Culture;TOUT;ALL FREDERIC MISTRAL;31400;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1575107.9999;2267001.9999;1.4532650889711;43.592777511886
MULLIGANS;Structure commerciale;0039;GRANDE-RUE SAINT MICHEL;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574584.0002;2266303.0002;1.44693706738318;43.5863999804101
MUSEE DE LA RESISTANCE ET DE LA DEPORTATION;Autre institution publique;0052;ALL DES DEMOISELLES;31400;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1575387.9999;2266583.9998;1.45682707196567;43.589062138235
MUSEE DE L'ABEILLE;Association;0040;CHE DE PECHBUSQUE;31400;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575433.0001;2260414.0003;1.45878583186507;43.5335431312688
MUSEE DE L'HISTOIRE DE LA MEDECINE DE TOULOUSE;Association;0002;RUE VIGUERIE;31300;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573767.9997;2267731.0002;1.43650555354195;43.599114742959
MUSEE DES AUGUSTINS - MUSEE DES BEAUX ARTS DE TOULOUSE;Mairie de Toulouse - DGA Culture;0021;RUE DE METZ;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574528.9998;2267878.0002;1.44589537477986;43.6005647238109
MUSEE DES COMPAGNONS;Association;0002;RUE TRIPIERE;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574246.9999;2267997.0002;1.44237595115615;43.6015886313484
MUSEE DES INSTRUMENTS DE MEDECINE DES HOPITAUX DE TOULOUSE;Structure commerciale;0002;RUE VIGUERIE;31300;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573767.9997;2267731.0002;1.43650555354195;43.599114742959
MUSEE DES TRANSPORTS;Association;0093;AV JULES JULIEN;31400;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574861;2265255.9997;1.45060555217345;43.5770236994413
MUSEE DU VIEUX TOULOUSE;Association;0007;RUE DU MAY;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574309.0003;2268069.9997;1.44312698074796;43.6022559171114
MUSEE GEORGES-LABIT;Mairie de Toulouse - DGA Culture;TOUT;RUE DU JAPON;31400;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1575505;2266700.9999;1.45824906738118;43.5901343957966
MUSEE PAUL-DUPUY - ARTS GRAPHIQUES ET ARTS DECORATIFS;Mairie de Toulouse - DGA Culture;0013;RUE DE LA PLEAU;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574603.9999;2267469;1.44691777045932;43.596896498431
MUSEE SAINT-RAYMOND - MUSEE DES ANTIQUES DE TOULOUSE;Mairie de Toulouse - DGA Culture;TOUT;PL SAINT SERNIN;31000;TOULOUSE;No;Yes;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574274.9999;2268734.9997;1.44255324199377;43.6082347497152
MUSEUM D'HISTOIRE NATURELLE;Mairie de Toulouse - DGA Culture;0035;ALL JULES GUESDE;31000;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574763;2267164.0002;1.44895634201386;43.5941781533207
MUSIC'HALLE;Association;0023;RUE DANIELLE CASANOVA;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573798.0003;2269278.9998;1.4365202612212;43.6130505879744
NOUVEAU THEATRE JULES JULIEN;Mairie de Toulouse - DGA Culture;0006;AV DES ECOLES JULES JULIEN;31400;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575102.0002;2264931.0002;1.45366285385084;43.5741388746755
O'BOHEME;Structure commerciale;0138;GRANDE-RUE SAINT MICHEL;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574455;2266818;1.44522197031199;43.5910131498549
OMBRES BLANCHES;Structure commerciale;0050;RUE LEON GAMBETTA;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574241.9998;2268195.9997;1.44226833262418;43.603378645794
PAVILLON MAZAR;Association;0005;RUE DU PRIEURE;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574166.0001;2268029;1.44136553434278;43.6018630847476
PENICHE LE CRI DE LA MOUETTE;Association;TOUT;ALL DE BARCELONE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573147.9999;2268655.0002;1.42861405202911;43.6073259272314
PUERTO HABANA;Structure commerciale;0012;PORT SAINT ETIENNE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1575396.9998;2267689.0002;1.45668714040718;43.5990078771994
REST'O JAZZ;Structure commerciale;0008;RUE AMELIE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575309;2268419.9997;1.45543098810778;43.6055717983553
SAINT - PIERRE DES CUISINES - AUDITORIUM ET ESPACE DANSE;Mairie de Toulouse - DGA Culture;0012;PL SAINT PIERRE;31000;TOULOUSE;No;No;No;No;Yes;No;Yes;Yes;No;No;No;Yes;1 - Toulouse Centre;1.1 - Capitole;1573693.9999;2268284.0002;1.43546166833913;43.6040789306583
SALLE CUVIER;Mairie de Toulouse - Autre Direction;0001B;RUE FRANCIS LOPEZ;31200;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1576038.0003;2271805.0002;1.46369250794347;43.6361545304873
SALLE DES ILLUSTRES;Mairie de Toulouse - Autre Direction;0001;PL DU CAPITOLE;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574386.9999;2268247.9999;1.44405207187261;43.6038707939495
SALLE DU CAP - PAUL SABATIER;Autre institution publique;0120;RTE DE NARBONNE;31400;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;6 - Toulouse Ouest;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575872.0002;2263480.9999;1.46352223472623;43.561216891294
