NOM;EQ_GESTIONNAIRE;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_BIBLIOTHEQUE;EQ_MUSEE;EQ_CINEMA;EQ_GALERIE_LIEU_EXPOSITION;EQ_CONF_RECEPTION;EQ_NTA;EQ_ENSEIGNEMENT;EQ_SALLE_DE_SPECTACLE;EQ_CENTRE_CULTUREL;EQ_CA_MJC_MQ;EQ_CAFE_CONCERT;EQ_STUDIO_DANS_MUSIQUE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ANNEXE DU CRR BARRIERE DE PARIS - ZAC LA VACHE;Mairie de Toulouse - DGA Culture;0004;RUE MARGUERITE DURAS;31200;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573840.0003;2271642.9999;1.4364954677097;43.6343316912144
ANNEXE DU CRR COTE PAVEE - COURREGE;Mairie de Toulouse - DGA Culture;0252B;AV JEAN RIEUX;31500;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles / Montaudran / La Terrasse;1577055.9998;2266006;1.47760843248021;43.5841344192461
ANNEXE DU CRR CROIX DAURADE - JEAN BOYER;Mairie de Toulouse - DGA Culture;0001B;RUE FRANCIS LOPEZ;31200;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1576038.0003;2271805.0002;1.46369250794347;43.6361545304873
ANNEXE DU CRR LA FOURGUETTE;Mairie de Toulouse - DGA Culture;0006;PL DES GLIERES;31100;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;6 - Toulouse Ouest;6.5 - Lafourguette;1571609.9998;2263942.0003;1.41067089419845;43.5646519646267
ANNEXE DU CRR RANGUEIL - JULES JULIEN;Mairie de Toulouse - DGA Culture;0009;AV DES ECOLES JULES JULIEN;31400;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575170.9999;2264971.0003;1.45450782291341;43.5745102785538
ANNEXE DU CRR SAINT-SIMON;Mairie de Toulouse - DGA Culture;0007;RUE DARBOUSSIER;31100;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;6 - Toulouse Ouest;6.4 - Saint Simon;1568923.9997;2263463.9997;1.3775435684557;43.5598881742572
ANNEXE DU MUSEE SAINT RAYMOND;Mairie de Toulouse - DGA Culture;0011;RUE DES TROIS RENARDS;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574140;2268669.9998;1.44089622588695;43.6076272621805
ARCHIVES MUNICIPALES TOULOUSE;Mairie de Toulouse - DGA Culture;0002;RUE DES ARCHIVES;31500;TOULOUSE;No;Yes;No;Yes;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575828.0003;2270440.9998;1.46140004775055;43.6238450104102
ATELIER B;Mairie de Toulouse - DGA Culture;0003;PL ANDRE ABBAL;31100;TOULOUSE;No;No;No;Yes;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570991.0003;2264595.0002;1.40285653269416;43.5704228499648
BBB - CENTRE REGIONAL D'INITIATIVES POUR L'ART CONTEMPORAIN;Association;0096;RUE MICHEL ANGE;31200;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574715.9999;2270797.0002;1.4475430031917;43.626864610407
BIBLIOTHEQUE ANCELY;Mairie de Toulouse - DGA Culture;0002;ALL DU VELAY;31300;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;6 - Toulouse Ouest;6.1 - Arènes Romaines - Saint Martin du Touch;1570822;2269906.0003;1.39951231134276;43.618188688358
BIBLIOTHEQUE ANTOINE DE SAINT EXUPERY;Mairie de Toulouse - DGA Culture;0037;RUE DU LOT;31100;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.3 - Fontaine Lestang - Bagatelle - Papus - Tabar - Bordelongue;1571740.0003;2265657.0003;1.41187849189065;43.5801078859371
BIBLIOTHEQUE BONNEFOY;Mairie de Toulouse - DGA Culture;0004;RUE DU FAUBOURG BONNEFOY;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575181.9997;2269616.0001;1.45358548825038;43.6163138885945
BIBLIOTHEQUE COTE PAVEE;Mairie de Toulouse - DGA Culture;0125;AV JEAN RIEUX;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1576133.0001;2267101.9998;1.46593383953473;43.5938466005189
BIBLIOTHEQUE CROIX DAURADE;Mairie de Toulouse - DGA Culture;0122;RTE D ALBI;31200;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1576077.9997;2271774;1.46419514790329;43.6358821360391
BIBLIOTHEQUE DES MINIMES;Mairie de Toulouse - DGA Culture;0003;PL DU MARCHE AUX COCHONS;31200;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573665.9999;2270097.9998;1.43469629465261;43.6203988124278
BIBLIOTHEQUE DES PRADETTES;Mairie de Toulouse - DGA Culture;0003;AV DE LA DEPECHE;31100;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;6 - Toulouse Ouest;6.2 - Lardenne - Pradettes - Basso Cambo;1569933;2265976.0001;1.38943385558949;43.5826690217731
BIBLIOTHEQUE D'ETUDE ET DU PATRIMOINE -  PERIGORD;Mairie de Toulouse - DGA Culture;0001;RUE DE PERIGORD;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574330.9999;2268631;1.44327066621163;43.6073081725014
BIBLIOTHEQUE DURANTI;Mairie de Toulouse - DGA Culture;0006;RUE LT COLONEL PELISSIER;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574605.9998;2268193.0002;1.44677676396302;43.6034123114706
BIBLIOTHEQUE FABRE;Mairie de Toulouse - DGA Culture;0006;RUE SAINT JEAN;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574311.0002;2267493.9998;1.4432839386241;43.5970726697416
BIBLIOTHEQUE LES IZARDS;Mairie de Toulouse - DGA Culture;TOUT;PL MICOULAUD;31200;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574446.0001;2272066.0001;1.44390682844448;43.6382395991673
BIBLIOTHEQUE NOMADE - SERVICE AUX COLLECTIVITES - BIBLIOBUS;Mairie de Toulouse - DGA Culture;0005;CHE DE PERPIGNAN;31100;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;6 - Toulouse Ouest;6.5 - Lafourguette;1570561.9997;2263265.9998;1.39786049104978;43.5583892555081
BIBLIOTHEQUE PINEL;Mairie de Toulouse - DGA Culture;0007;PL MARIUS PINEL;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1576266.0001;2268046.0002;1.46736738325269;43.6023638157536
BIBLIOTHEQUE PONT DES DEMOISELLES;Mairie de Toulouse - DGA Culture;0001;PL PIERRE MENDES FRANCE;31400;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1575785;2266391;1.46178610786026;43.5873907968482
BIBLIOTHEQUE POUR TOUS - BELFORT;Association;0017;RUE DE BELFORT;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574813.0003;2268804.9997;1.44920032044636;43.6089542743891
BIBLIOTHEQUE POUR TOUS - PELISSIER;Association;0002;RUE LT COLONEL PELISSIER;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574535.0002;2268195.0001;1.44589705253466;43.6034184911409
BIBLIOTHEQUE POUR TOUS - VASE;Association;0015;RUE DES VASES;31000;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575160.0001;2267635.9997;1.4537644433233;43.5984916864907
BIBLIOTHEQUE POUR TOUS -SHRADER;Association;0015;IMP FRANZ SCHRADER;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1577526.9997;2265951.0003;1.48345175600166;43.5837161288799
BIBLIOTHEQUE RANGUEIL;Mairie de Toulouse - DGA Culture;0019;RUE CLAUDE DE FORBIN;31400;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575933.9999;2264996.9997;1.46394643335382;43.5748702071173
BIBLIOTHEQUE ROSERAIE;Mairie de Toulouse - DGA Culture;0170;RUE DE PERIOLE;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1576254;2269934.0003;1.46679202329279;43.6193524955321
BIBLIOTHEQUE SAINT CYPRIEN;Mairie de Toulouse - DGA Culture;0063;RUE RECLUSANE;31300;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573291.0001;2267717.0002;1.43060210447798;43.5989087029166
BIBLIOTHEQUE SERVEYROLLES - SOUPETARD;Mairie de Toulouse - DGA Culture;TOUT;RUE CHARLES GARNIER;31500;TOULOUSE;Yes;No;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1577160.0002;2268739.0002;1.47828302687645;43.6087466103478
CAFE ROCK LE DAUPHIN;Structure commerciale;0003;BD DE STRASBOURG;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574719.9997;2268473.0002;1.44812446873263;43.6059510678196
CAFE THEATRE LE 57;Structure commerciale;0057;BD DES MINIMES;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1574045.0002;2269642.9998;1.43949581043879;43.6163676358188
CAFE THEATRE LES MINIMES;Structure commerciale;0006;RUE GELIBERT;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573695.0002;2270153.9998;1.4350426072291;43.6209076297494
CASINO THEATRE BARRIERE;Structure commerciale;0018;CHE DE LA LOGE;31400;TOULOUSE;No;No;No;No;Yes;No;No;Yes;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1573578.0001;2264803.0003;1.434828375132;43.5727329418284
CAVE POESIE;Association;0071;RUE DU TAUR;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574236.9997;2268618.9999;1.44210925846174;43.6071844974757
CENTRE CULTUREL - THEATRE DES MAZADES;Mairie de Toulouse - DGA Culture;0010;AV DES MAZADES;31200;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573993;2270491.0001;1.43865646924821;43.6239902634749
CENTRE CULTUREL ALBAN MINVILLE;Mairie de Toulouse - DGA Culture;0001;PL MARTIN LUTHER KING;31100;TOULOUSE;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570673.0001;2263946.9997;1.39907347161137;43.5645368269328
CENTRE CULTUREL BELLEGARDE;Mairie de Toulouse - DGA Culture;0017;RUE BELLEGARDE;31000;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574441;2268741.9997;1.44460753012457;43.6083254243223
CENTRE CULTUREL DES MINIMES;Association;0006;RUE DU CAILLOU GRIS;31200;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573700.0003;2270055.0002;1.43512739204257;43.6200175518106
CENTRE CULTUREL HENRI DESBALS;Mairie de Toulouse - DGA Culture;0128;RUE HENRI DESBALS;31100;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;2 - Rive Gauche;2.3 - Fontaine Lestang - Bagatelle - Papus - Tabar - Bordelongue;1571735.0002;2265584.9997;1.41183344695688;43.5794590820138
CENTRE CULTUREL LEONARD DE VINCI DE L'ENAC - THEATRE DE POCHE;Association;0007;AV EDOUARD BELIN;31400;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1577134.0001;2263914.0003;1.47904303039701;43.5653203463623
CENTRE D'ANIMATION DE BAGATELLE;Mairie de Toulouse - DGA Culture;0011;IMP DU BACHAGA BOUALAM;31100;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;2 - Rive Gauche;2.3 - Fontaine Lestang - Bagatelle - Papus - Tabar - Bordelongue;1571443.9997;2265638.0002;1.4082187314263;43.5798864782009
CENTRE D'ANIMATION DES CHAMOIS;Mairie de Toulouse - DGA Culture;0011;RUE DES CHAMOIS;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;Yes;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574367.0002;2272176.0002;1.44290267631934;43.639216331904
CENTRE D'ANIMATION LA TERRASSE;Mairie de Toulouse - DGA Culture;0015;IMP FRANZ SCHRADER;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1577526.9997;2265951.0003;1.48345175600166;43.5837161288799
CENTRE D'ANIMATION LALANDE;Mairie de Toulouse - DGA Culture;0239;AV DE FRONTON;31200;TOULOUSE;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;3 - Toulouse Nord;3.2 - Sept Deniers - Ginestous;1573578.0001;2273191.9998;1.43289118789884;43.6482273916325
CENTRE D'ANIMATION MONTAUDRAN;Association;0003;IMP GASTON GENIN;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1577641.9999;2264875.9998;1.48511547233675;43.5740604215996
CENTRE D'ANIMATION REYNERIE;Mairie de Toulouse - DGA Culture;0003;PL ANDRE ABBAL;31100;TOULOUSE;No;No;No;Yes;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570991.0003;2264595.0002;1.40285653269416;43.5704228499648
CENTRE D'ANIMATION SAINT SIMON;Mairie de Toulouse - DGA Culture;0010;CHE DE LIFFARD;31100;TOULOUSE;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;6 - Toulouse Ouest;6.4 - Saint Simon;1569045.0003;2263659.9997;1.37899413296402;43.5616730536058
CENTRE D'ANIMATION SOUPETARD;Mairie de Toulouse - DGA Culture;0063;CHE DE HEREDIA;31500;TOULOUSE;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1576878.0003;2269355.0002;1.47465189803144;43.6142441509013
CENTRE DE DEVELOPPEMENT CHOREGRAPHIQUE (CDC);Association;0005;AV ETIENNE BILLIERES;31300;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;2 - Rive Gauche;2.1 - Saint Cyprien;1573181;2267554.0003;1.42927772065588;43.5974233227851
CENTRE DE L'AFFICHE DE LA CARTE POSTALE ET DE L'ART GRAPHIQUE;Mairie de Toulouse - DGA Culture;0058;ALL CHARLES DE FITTE;31300;TOULOUSE;No;Yes;No;No;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573286;2267677.9997;1.43054921174571;43.5985568868796
CENTRE DES CONGRES PIERRE BAUDIS;Structure commerciale;0011;ESP COMPANS CAFFARELLI;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573664;2269107;1.43490024798494;43.6114802672585
CERCLE LAIQUE JEAN CHAUBET;Association;0007;PL MARIUS PINEL;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;Yes;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1576266.0001;2268046.0002;1.46736738325269;43.6023638157536
CHAPELLE DES CARMELITES;Mairie de Toulouse - DGA Culture;0001;RUE DE PERIGORD;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574330.9999;2268631;1.44327066621163;43.6073081725014
CHAPELLE SAINTE ANNE;Mairie de Toulouse - Autre Direction;0015;RUE SAINTE ANNE;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574939.0003;2267743.0003;1.45100338412508;43.5994179738224
CICC - SAMBA RESILLE;Association;0038;RUE ROQUELAINE;31000;TOULOUSE;No;No;No;Yes;No;No;Yes;Yes;No;No;No;Yes;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574610.9999;2269080.0003;1.44663555298953;43.6113954844457
CINEMA ABC;Association;0013;RUE SAINT BERNARD;31000;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574390.9997;2268821.0003;1.44397015652457;43.6090280366731
CINEMATHEQUE DE TOULOUSE;Association;0069;RUE DU TAUR;31000;TOULOUSE CEDEX 6;No;No;Yes;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574239.9999;2268608.9997;1.44214871185831;43.6070950039373
CITE DE L'ESPACE;Structure commerciale;TOUT;AV JEAN GONORD;31500;TOULOUSE CEDEX 5;No;Yes;No;No;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1578173.0003;2266354.9997;1.49135944568407;43.5874565695513
CITRON BLEU;Structure commerciale;0018;RUE DES PARADOUX;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.1 - Capitole;1574274.9999;2267689.0002;1.44279339764443;43.5988215277633
CMAV - CENTRE MERIDIONAL DE L'ARCHITECTURE DE LA VILLE;Association;0005;RUE SAINT PANTALEON;31000;TOULOUSE;No;Yes;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574444.0002;2268184.9999;1.44477240906718;43.6033133398526
CONSERVATOIRE A RAYONNEMENT REGIONAL (CRR);Mairie de Toulouse - DGA Culture;0017;RUE LARREY;31000;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;1 - Toulouse Centre;1.1 - Capitole;1573930;2268188.9997;1.43840617281113;43.6032635177453
CONSERVATOIRE OCCITAN;Association;0005;RUE DU PONT DE TOUNIS;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574187.9997;2267570.0002;1.44174341225602;43.5977360946185
COUR HENRI IV;Mairie de Toulouse - Autre Direction;0001;PL DU CAPITOLE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574386.9999;2268247.9999;1.44405207187261;43.6038707939495
CRDP - CENTRE REGIONAL DE DOCUMENTATION PEDAGOGIQUE;Association;0003;RUE ROQUELAINE;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574451.9998;2268958.9997;1.44469400041008;43.6102800935493
DUBLINERS;Structure commerciale;0046;AV MARCEL LANGER;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574869.9999;2265983.9997;1.45055073095327;43.5835767205615
EGLISE DU GESU;Association;0022B;RUE DES FLEURS;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574582.0003;2267208.0001;1.44670512075462;43.5945440228865
EL BARRIO LATINO;Structure commerciale;0144;AV DE MURET;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.2 - Croix de Pierre - Route d'Espagne;1573104;2266210.9999;1.42863534960255;43.5853243364757
ENSEMBLE CONVENTUEL DES JACOBINS;Mairie de Toulouse - DGA Culture;0069;RUE PARGAMINIERES;31000;TOULOUSE;No;Yes;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574052.0002;2268323;1.4398861869367;43.6044898213059
ERICH COFFEE;Structure commerciale;0009;RUE JOSEPH VIE;31300;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573443.0002;2267502.9997;1.43253376625679;43.5970083986875
ESAV;Association;0056;RUE DU TAUR;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574250.9997;2268610;1.4422847108532;43.6071058416671
ESPACE BAZACLE;Structure commerciale;0011;QU SAINT PIERRE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.2 - Amidonniers - Caffarelli;1573454;2268340.9998;1.43247633307298;43.6045516175524
ESPACE BONNEFOY;Mairie de Toulouse - DGA Culture;0004;RUE DU FAUBOURG BONNEFOY;31500;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575181.9997;2269616.0001;1.45358548825038;43.6163138885945
ESPACE CROIX BARAGNON;Mairie de Toulouse - DGA Culture;0024;RUE CROIX BARAGNON;31000;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574696.0002;2267792.0003;1.44798307533012;43.5998185733236
ESPACE DANSE DU CONSERVATOIRE DE TOULOUSE;Mairie de Toulouse - DGA Culture;0012;PL SAINT PIERRE;31000;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1573693.9999;2268284.0002;1.43546166833913;43.6040789306583
ESPACE DES DIVERSITES ET DE LA LAICITE;Mairie de Toulouse - Autre Direction;0038;RUE D AUBUISSON;31000;TOULOUSE;No;No;No;Yes;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575118.0001;2268156.9999;1.45312555367702;43.6031733596667
ESPACE JOB;Mairie de Toulouse - DGA Culture;0105;RTE DE BLAGNAC;31200;TOULOUSE;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;3 - Toulouse Nord;3.2 - Sept Deniers - Ginestous;1571532.9998;2269744;1.40835735546538;43.616852401072
ESPACE ROGUET - MJC ROGUET;Autre institution publique;0009;RUE DE GASCOGNE;31300;TOULOUSE;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573025.9997;2267416.9998;1.42739016585698;43.5961643215819
ESPACE SAINT CYPRIEN - CHAPEAU ROUGE;Mairie de Toulouse - DGA Culture;0056;ALL CHARLES DE FITTE;31300;TOULOUSE;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;2 - Rive Gauche;2.1 - Saint Cyprien;1573315.0003;2267647.0002;1.43091548978465;43.5982827901506
ETPA - ECOLE DE PHOTOGRAPHIE;Structure commerciale;0007;RUE EUGENE LABICHE;31200;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573667.9998;2270981.0001;1.43451721816905;43.6283454233055
FAIRFIELD CAFE;Structure commerciale;0110;AV JULES JULIEN;31400;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574820.9999;2265509;1.45005262063977;43.5792938983889
FONDATION ESPACE ECUREUIL POUR L'ART CONTEMPORAIN;Structure commerciale;0003;PL DU CAPITOLE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574358.9999;2268244.9997;1.44370600811245;43.6038391263602
FRICHE CULTURELLE DE L'IMPRIMERIE - ERNEST RENAN;Mairie de Toulouse - DGA Culture;0014;RUE ERNEST RENAN;31200;TOULOUSE;No;No;No;No;No;Yes;No;No;No;No;No;Yes;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574516.0001;2270955;1.44502903587075;43.6282531894962
FRICHE CULTURELLE SAINT SIMON - LA VANNERIE;Mairie de Toulouse - DGA Culture;0001B;CHE NEUF;31100;TOULOUSE;No;No;No;No;No;Yes;No;No;No;No;No;Yes;6 - Toulouse Ouest;6.4 - Saint Simon;1569635.0002;2262894.9998;1.38647740604384;43.5548908308113
FROG AND ROSBIF;Structure commerciale;0014;RUE DE L INDUSTRIE;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;Yes;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1574957.0001;2268347.9998;1.45108813309783;43.6048655216635
GALERIE CAN'ART;Structure commerciale;0028;RUE DES POLINAIRES;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574329;2267579.9997;1.44348709071033;43.5978496088319
GALERIE DAUDET;Structure commerciale;0010;RUE DE LA TRINITE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574453.0001;2267766.0002;1.44497992007397;43.599544147192
GALERIE DU CHÂTEAU D'EAU;Association;0001;RUE LAGANNE;31300;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573616.0003;2267084;1.43477263296161;43.5932667386596
GALERIE EXPRMNTL;Structure commerciale;0018;RUE DE LA BOURSE;31000;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574246.0003;2267918.0003;1.4423817133272;43.6008775233225
